question_en,question_type,question_type_explanation
"Q14 Did you experience any of the following problems with the external support received to tackle the skills shortage in your company? [MULTIPLE ANSWERS] | Base: If Q12= 1, 2, 3, 4, 5, 6 (external support received)",not_forward,References an existing policy/program as already in place
Q15 What type of external support would be the most useful for your company to tackle skill shortages? You can select up to three types of support. [MULTIPLE ANSWERS] | Base: All,not_forward,"The question asks for the most useful type of external support for a company's skill shortages, which refers to an existing issue and does not ask about what the EU should do."
"Q16 Have you tried to hire foreign talent to solve your company's skill shortage? [MULTIPLE ANSWERS] | Base: ASK ALL EXCEPT US, UK, CN, JP, MK, TR, IS, CH, NO",not_forward,"The question asks about a past action of hiring foreign talent, not expressing an opinion on what the EU should do in the future."
Q17a Did you experience any problems trying to hire candidates from other European Union countries? [MULTIPLE ANSWERS] | Base: IF Q16=1,not_forward,"The question asks about past experiences, not forward-looking opinions"
Q17b Did you experience any problems trying to hire candidates from countries outside the European Union? [MULTIPLE ANSWERS] | Base: IF Q16=2 and Q16 ne 1,not_forward,"The question asks about past experiences, not forward-looking opinions"
Q17c Why did you not try to hire from other European Union countries? [MULTIPLE ANSWERS] | Base: IF Q16=3,not_forward,The question asks about a past action and not a forward-looking opinion on what the EU should do.
Q18 Have you heard or read anything on the Enterprise Europe Network? | Base: All,not_forward,This question is a factual awareness question about the respondent's knowledge of an existing EU program.
DX2 What is the size of your company in terms of number of employees? | Base: All,not_forward,"This question asks for factual information about the size of the respondent's company, not their opinion on what the EU should do."
DX2b What is the average age of your employees? | Base: All,not_forward,"This question asks for factual information about the respondent's employees, not their opinion on what the EU should do."
DX2c Do you intend to hire additional people (in addition to your current staff) in the next 12 months? | Base: All,not_forward,"The question asks about the respondent's intention, which is a behavioral/personal question and not related to the EU's policy."
D1b Which of the following categories best describes your company? | Base: All,not_forward,"This question asks for the category of a company, not expressing an opinion about what the EU should do."
D3 In what year was your company established? | Base: All,not_forward,"This question asks for factual information about the establishment year of a company, not forward-looking opinion or policy preference."
"D4 Over the past two years, has your company's annual turnover increased, decreased or remained unchanged? | Base: All",not_forward,"This question asks for factual information about the respondent's company turnover over a specific period, not their forward-looking opinion or preference about what the EU should do."
brk_D5 Company's turnover (in euro) | Base: All,not_forward,"This question asks for respondents' personal financial information, not their opinion about what the EU should do."
D12b Which of the following best describes the area where your company is located? | Base: All,not_forward,"This question asks for the location of the respondent's company, not their opinion about what the EU should do."
D13 Are you a member of an industry cluster or another SME business support organisation? | Base: All,not_forward,"The question asks for factual information about membership, not a forward-looking opinion about what the EU should do."
QA1 Which of the following do you think are the best ways of ensuring your voice is heard by decision-makers at national level? MAX. 3 ANSWERS,opinion_forward,"The question asks for citizens' opinion on the best ways to ensure their voice is heard by decision-makers, which is a forward-looking opinion about what should be done."
QA2 Which of the following do you think are the best ways of ensuring your voice is heard by decision-makers at EU level? MAX. 3 ANSWERS,opinion_forward,"The question asks for citizens' opinion on the best ways to ensure their voice is heard by EU decision-makers, which is a forward-looking opinion about what the EU should do."
QA3 With whom would you like to discuss the future of the European Union? MAX. 2 ANSWERS,not_forward,"The question asks for whom the respondent would like to discuss the future of the EU, not what the EU should do."
QA4.1 Please tell me to what extent you agree or disagree with each of the following statements.:-EU citizens' voice should be more taken into account for decisions relating to the future of Europe,opinion_forward,The question asks for citizens' opinion about what the EU should do in the future.
QA4.2 Please tell me to what extent you agree or disagree with each of the following statements.:-There is still work to be done to strengthen democracy in the EU (N),opinion_forward,The question asks for citizens' opinion about what should be done to strengthen democracy in the EU
QA4.3 Please tell me to what extent you agree or disagree with each of the following statements.:-There is still work to be done to protect democracy in the EU (N),opinion_forward,The question asks for citizens' opinion about what SHOULD be done to protect democracy in the EU
QA5 Who do you think should be actively involved in the Conference on the Future of Europe? MULTIPLE ANSWERS POSSIBLE,opinion_forward,The question asks for citizens' opinion on who SHOULD be involved in the Conference on the Future of Europe.
QA6.1 To what extent do you agree or disagree with the following statements about the Conference on the Future of Europe:-The Conference should specifically involve young people to foster new ideas,opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD do regarding the Conference on the Future of Europe, specifically involving young people."
QA6.2 To what extent do you agree or disagree with the following statements about the Conference on the Future of Europe:-The Conference would represent significant progress for democracy within the EU,opinion_forward,The question asks for citizens' opinion about what the Conference on the Future of Europe SHOULD represent for democracy within the EU.
"QA6.3 To what extent do you agree or disagree with the following statements about the Conference on the Future of Europe:-The Conference would have no real impact, it would not change much",opinion_forward,The citizen expresses an opinion about what the impact of the Conference on the Future of Europe could be.
QA6.4 To what extent do you agree or disagree with the following statements about the Conference on the Future of Europe:-The Conference should deal in priority with how the EU could better handle crises such as the coronavirus outbreak,opinion_forward,"The question asks for citizens' opinion about what the EU should do in handling crises, specifically the coronavirus outbreak."
"QA7 Would you personally be willing to take part, as a citizen, in the activities of the Conference on the Future of Europe?",opinion_forward,"The question asks for citizens' willingness to participate in future activities, which is a forward-looking opinion."
QA8a How would you like to contribute to the activities of the Conference on the Future of Europe? Firstly?,opinion_forward,"The question asks for citizens' opinion on how they would like to contribute to the activities of the Conference on the Future of Europe, which is a forward-looking opinion about what the EU should do."
QA8b And then?,opinion_forward,The question asks for citizens' opinion about what the EU should do next.
QA8T How would you like to contribute to the activities of the Conference on the Future of Europe? Firstly? And then?,opinion_forward,"The question asks for citizens' opinion on how they would like to contribute to the activities of the Conference on the Future of Europe, which is a forward-looking opinion about what the EU should do."
"QA9 Which of the following, if any, would encourage you to take part in the activities of the Conference on the Future of Europe? MULTIPLE ANSWERS POSSIBLE",opinion_forward,"The question asks for citizens' opinion on what would encourage them to participate in the activities of the Conference on the Future of Europe, which is a forward-looking opinion about EU actions."
"QA10a In your opinion, what are the main assets of the EU? Firstly?",opinion_forward,"The question asks for citizens' opinion about the main assets of the EU, which is a forward-looking opinion."
QA10b And then?,opinion_forward,The question asks for citizens' opinion about what the EU should do next.
"QA10T In your opinion, what are the main assets of the EU? Firstly? And then?",opinion_forward,"The question asks for citizens' opinion about the main assets of the EU, which is a forward-looking opinion."
QA11 And which of the following do you think are the main challenges for the EU? MULTIPLE ANSWERS POSSIBLE,opinion_forward,"The question asks for citizens' opinion about the main challenges for the EU, which can be considered as what SHOULD happen in the future."
QA12 Which of the following do you think are the main global challenges for the future of the EU? MAX. 3 ANSWERS,opinion_forward,"The question asks for citizens' opinion about the main global challenges for the EU in the future, which is a forward-looking opinion."
QA13 Which of the following option would allow to make the most progress on these main global challenges for the future of the EU?,opinion_forward,"The question asks for citizens' opinion about what the EU should do to make progress on global challenges, which fits the definition of forward-looking opinion."
QA14 The Coronavirus crisis made you reflect on the future of the European Union:,opinion_forward,"The question asks for citizens' opinion about the future of the EU, which is forward-looking."
QA15.1 To what extent do you agree or disagree with each of the following statements?:-The European Union is a place of stability in a troubled world,opinion_forward,"The question asks for citizens' opinion about the EU's role in providing stability, which is a forward-looking opinion."
QA15.2 To what extent do you agree or disagree with each of the following statements?:-Globalisation is an opportunity for economic growth,opinion_forward,"The question asks for citizens' opinion about what they think globalisation SHOULD be, which is a forward-looking opinion."
QA15.3 To what extent do you agree or disagree with each of the following statements?:-Globalisation threatens (OUR COUNTRY)'s identity,opinion_forward,"The question asks for citizens' opinion about what they think should happen (whether globalization threatens their country's identity), which is a forward-looking opinion."
QA15.4 To what extent do you agree or disagree with each of the following statements?:-The European Union project offers a future perspective for Europe's youth,opinion_forward,The question asks for citizens' opinion about what the EU SHOULD offer for Europe's youth
QA15.5 To what extent do you agree or disagree with each of the following statements?:-The interests of people like you are well taken into account by the political system in (OUR COUNTRY),opinion_forward,"The question asks for citizens' opinion about the political system in their country, which can be interpreted as what SHOULD happen."
QA16 Which two of the following should be prioritised in order to face major global challenges? MAX. 2 ANSWERS,opinion_forward,"The question asks for citizens' opinion on what should be prioritized in the EU, which falls under forward-looking opinion."
"QA17.1 For each of these values, please tell me if they are best embodied by the EU, by other countries (or groups of countries) in the world or by both?:-Respect for nature and the environment",opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD embody, which falls under forward-looking opinion."
"QA17.2 For each of these values, please tell me if they are best embodied by the EU, by other countries (or groups of countries) in the world or by both?:-Social equality and solidarity",opinion_forward,"The question asks for citizens' opinion about which entity embodies social equality and solidarity the most, suggesting a forward-looking policy preference."
"QA17.3 For each of these values, please tell me if they are best embodied by the EU, by other countries (or groups of countries) in the world or by both?:-Peace",opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD embody, specifically peace."
"QA17.4 For each of these values, please tell me if they are best embodied by the EU, by other countries (or groups of countries) in the world or by both?:-Progress and innovation",opinion_forward,"The question asks for citizens' opinion about what values are best embodied by the EU, which is a forward-looking opinion."
"QA17.5 For each of these values, please tell me if they are best embodied by the EU, by other countries (or groups of countries) in the world or by both?:-Freedom of opinion",opinion_forward,"The question asks for citizens' opinion about what values are best embodied by the EU, which is a forward-looking opinion."
"QA17.6 For each of these values, please tell me if they are best embodied by the EU, by other countries (or groups of countries) in the world or by both?:-Tolerance and openness to others",opinion_forward,"The question asks for citizens' opinion about which entity embodies the value of tolerance and openness to others, suggesting a forward-looking opinion."
"QA17.7 For each of these values, please tell me if they are best embodied by the EU, by other countries (or groups of countries) in the world or by both?:-Respect for history and its lessons",not_forward,"This question asks for citizens' perception of where certain values are best embodied, not their opinion on what the EU should do."
QA18 Which two of the following would you consider to be most helpful for the future of Europe? MAX. 2 ANSWERS,opinion_forward,The question asks for citizens' opinion about what they think would be most helpful for the future of Europe.
"QA19.1 In your opinion, at what level can we deal with each of the following areas most efficiently?:-Migration and refugees",opinion_forward,"The question asks for citizens' opinion about where migration and refugee issues can be dealt with most efficiently, which is a forward-looking opinion."
"QA19.2 In your opinion, at what level can we deal with each of the following areas most efficiently?:-Fighting terrorism",opinion_forward,"The question asks for citizens' opinion about where terrorism can be dealt with most efficiently, which is a forward-looking opinion about what the EU should do."
"QA19.3 In your opinion, at what level can we deal with each of the following areas most efficiently?:-Employment and social protection",opinion_forward,"The question asks for citizens' opinion about where employment and social protection can be dealt with most efficiently, which is a forward-looking opinion about what the EU should do."
"QA19.4 In your opinion, at what level can we deal with each of the following areas most efficiently?:-Energy policy",opinion_forward,"The question asks for citizens' opinion about where energy policy should be dealt most efficiently, which is a forward-looking opinion."
"QA19.5 In your opinion, at what level can we deal with each of the following areas most efficiently?:-Environment and climate change",opinion_forward,The question asks for citizens' opinion about where the EU should deal with environmental and climate change most efficiently.
"QA19.6 In your opinion, at what level can we deal with each of the following areas most efficiently?:-Consumer protection (M)",opinion_forward,"The question asks for citizens' opinion about where consumer protection can be dealt with most efficiently, which is a forward-looking opinion."
"QA19.7 In your opinion, at what level can we deal with each of the following areas most efficiently?:-Economy and growth",opinion_forward,The question asks for citizens' opinion about where the EU should deal with economic and growth issues most efficiently.
"QA19.8 In your opinion, at what level can we deal with each of the following areas most efficiently?:-Agriculture and fisheries",opinion_forward,"The question asks for citizens' opinion about where agriculture and fisheries can be dealt with most efficiently, which is a forward-looking opinion about what the EU should do."
"QA19.9 In your opinion, at what level can we deal with each of the following areas most efficiently?:-Foreign policy",opinion_forward,"The question asks for citizens' opinion about where foreign policy can be dealt with most efficiently, which is a forward-looking opinion about what the EU should do."
"QA19.10 In your opinion, at what level can we deal with each of the following areas most efficiently?:-Security and defence policy",opinion_forward,"The question asks for citizens' opinion about where security and defense policy can be dealt with most efficiently, which is a forward-looking opinion."
"QA19.11 In your opinion, at what level can we deal with each of the following areas most efficiently?:-Health (N)",opinion_forward,"The question asks for citizens' opinion about where health issues can be dealt with most efficiently, which is a forward-looking opinion about what the EU should do."
"QA20.1 And in your opinion, at what level can we deal with each of the following areas most efficiently?:-The digital transformation of the economy and of society (N)",opinion_forward,"The question asks for citizens' opinion about where the digital transformation of the economy and society can be dealt with most efficiently, which is a forward-looking opinion."
"QA20.2 And in your opinion, at what level can we deal with each of the following areas most efficiently?:-Gender equality (N)",opinion_forward,"The question asks for citizens' opinion about where gender equality can be dealt with most efficiently, which is a forward-looking opinion."
"QA20.3 And in your opinion, at what level can we deal with each of the following areas most efficiently?:-Taxation (N)",opinion_forward,"The question asks for citizens' opinion about the level of efficiency for EU taxation, which is a forward-looking policy preference."
"QA20.4 And in your opinion, at what level can we deal with each of the following areas most efficiently?:-Research and development",opinion_forward,"The question asks for citizens' opinion about where research and development can be dealt with most efficiently, which is a forward-looking opinion about what the EU should do."
"QA20.5 And in your opinion, at what level can we deal with each of the following areas most efficiently?:-Education and training (M)",opinion_forward,"The question asks for citizens' opinion about the most efficient level to deal with education and training, which is a forward-looking policy preference."
"QA21 Taking a longer view, if you picture the EU you would like to see in ten years from now, would you prefer? An EU with...",opinion_forward,The question asks for citizens' forward-looking opinion about what the EU should be like in ten years.
"QA22 European Parliament elections were held on the (INSERT CORRECT DATE ACCORDING TO COUNTRY). For one reason or another, some people in (OUR COUNTRY) did not vote in these elections. Did you yourself vote in the last European Parliament elections?",not_forward,"This question asks for personal behavior, not a forward-looking opinion about what the EU should do."
QA23 Each European political family can choose a lead candidate before the European Parliament elections. Such lead candidates can play a prominent role during the campaign all across the EU and can be the candidate of their political family to become President of the European Commission. Are you in favour of such a process or not?,opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do in the future
"QA24 In the last European Parliament elections, EU citizens could vote for lists in a national frame. For example, an EU citizen living in (COUNTRY) could vote for a list in (COUNTRY). It is currently debated that in the future EU citizens could have the possibility to vote in addition also for transnational lists. Such lists would gather candidates from different EU countries and all EU citizens could then vote for the same transnational lists. Do you think that this would be:",opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do in the future
QA25.1 To what extent do you agree or disagree with the following statements regarding the fact that the lead candidates chosen by the European political families could become the President of the European Commission (according to the European election results):-It would represent significant progress for democracy within the EU,opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do in terms of democracy progress
QA25.2 To what extent do you agree or disagree with the following statements regarding the fact that the lead candidates chosen by the European political families could become the President of the European Commission (according to the European election results):-It would bring more transparency to the process of electing the President of the European Commission,opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do to bring more transparency to the process of electing the President of the European Commission.
QA25.3 To what extent do you agree or disagree with the following statements regarding the fact that the lead candidates chosen by the European political families could become the President of the European Commission (according to the European election results):-It would give more legitimacy to the European Commission,opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do (provide more legitimacy to the European Commission)
"QA25.4 To what extent do you agree or disagree with the following statements regarding the fact that the lead candidates chosen by the European political families could become the President of the European Commission (according to the European election results):-It would have no real impact, it would not change much",opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do in terms of selecting the President of the European Commission.
QA25.5 To what extent do you agree or disagree with the following statements regarding the fact that the lead candidates chosen by the European political families could become the President of the European Commission (according to the European election results):-It would prevent Member States' governments from choosing the best candidate for the job,opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do regarding the selection process of the President of the European Commission.
QA25.6 To what extent do you agree or disagree with the following statements regarding the fact that the lead candidates chosen by the European political families could become the President of the European Commission (according to the European election results):-It would only make sense if EU citizens were given the possibility to vote for transnational lists,opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do in terms of allowing voters to choose transnational lists for the President of the European Commission.
"QA26 Generally speaking, do you think that (OUR COUNTRY)'s membership of the EU is...?",not_forward,"It asks for citizens' opinion about the current state of their country's EU membership, not what the EU should do."
"QA27 In the past six months, would you say that this image you have of the EU improved, got worse or stayed about the same?",not_forward,"This question asks for an opinion about the current image of the EU, not a forward-looking opinion about what the EU should do."
QA28 To what extent do you agree with the following statement: the EU should have more competences to deal with crises such as the Coronavirus outbreak?,opinion_forward,"The question asks for citizens' opinion about what the EU should do in the future, specifically regarding competences to deal with crises such as the Coronavirus outbreak."
QA29 Which of the following statements regarding the European Union is closest to your opinion?,opinion_forward,"The question asks for the citizen's opinion about what the EU should do, which is forward-looking."
"QA30.1 In general, how satisfied are you with the measures taken to fight the Coronavirus pandemic by...?:-The (NATIONALITY) government",not_forward,"The question asks for satisfaction with measures already taken, not what should be done in the future."
"QA30.2 In general, how satisfied are you with the measures taken to fight the Coronavirus pandemic by...?:-The European Union institutions",not_forward,References an existing policy/program as already in place
QA31 And what should the European Union now prioritise in its response to the Coronavirus pandemic? MAX. 3 ANSWERS,opinion_forward,"The question asks for citizens' opinion about what the EU should prioritize in its response to the Coronavirus pandemic, which is a forward-looking opinion."
"QA32.1 How effective or not do you think that each of the following measures decided by the European Union is, to respond to the economic effects of the Coronavirus pandemic?:-A recovery plan of 750 billion euros supporting the economy through grants and loans (Next Generation EU).",opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do in response to the economic effects of the Coronavirus pandemic.
"QA32.2 How effective or not do you think that each of the following measures decided by the European Union is, to respond to the economic effects of the Coronavirus pandemic?:-EU financial support to keep people in jobs.",opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do to respond to the economic effects of the Coronavirus pandemic.
"QA32.3 How effective or not do you think that each of the following measures decided by the European Union is, to respond to the economic effects of the Coronavirus pandemic?:-Allowing national governments to make public deficit to support the economy in these exceptional circumstances.",opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do in response to the economic effects of the Coronavirus pandemic.
"QA32.4 How effective or not do you think that each of the following measures decided by the European Union is, to respond to the economic effects of the Coronavirus pandemic?:-Public subsidies to companies that face difficulties.",opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do in response to the economic effects of the Coronavirus pandemic.
"QA33 The Coronavirus pandemic fundamentally disrupted tourism and the travel industry in 2020. The pandemic, combined with the effects of climate change and the digitalization of economy, may lead to long lasting impacts on travelling and tourism in the future. When it comes to your future travel choices, do you plan to do any of the following? You can select up to three answers. MAX. 3 ANSWERS",opinion_forward,"The question asks for citizens' forward-looking opinion about their future travel choices in relation to the EU, which could potentially influence tourism and travel industry policies."
"SD20 Generally speaking, do you think that the life of those in the EU who are children today will be easier, more difficult or about the same as the life of those from your own generation?",opinion_forward,"The question asks for a citizen's opinion about the future state of life in the EU, which can be considered forward-looking."
Region,opinion_forward,Asks for citizens' opinion about what the EU should do
DX1 Do you travel at least once a year outside your country? | Base: All,not_forward,"The question asks for personal travel behavior, not a forward-looking opinion about what the EU should do."
DX2 How has your household income changed since last year? Has it: | Base: All,not_forward,"This question asks for a factual response about the respondent's household income change, not their opinion on what the EU should do."
DX3 What is your expectation regarding your household income this year? Will it: | Base: All,not_forward,"This question asks for citizens' expectation about their household income this year, which is not a forward-looking opinion about what the EU should do."
"Q1_1 Generally speaking, do you think that…? Having the euro is a good or a bad thing for your country. | Base: All",opinion_forward,"The question asks for citizens' opinion about the impact of having the euro on their country, which can be considered a forward-looking opinion."
"Q1_2 Generally speaking, do you think that…? Having the euro is a good or bad thing for the EU. | Base: All",opinion_forward,"The question asks for citizens' opinion about the EU SHOULD do (whether having the euro is good or bad), which falls under FORWARD-LOOKING OPINION."
Q2 Does the euro contribute to make you feel European? | Base: All,opinion_forward,"The question asks for citizens' opinion about the euro contributing to their feeling of being European, which is a forward-looking opinion."
"Q3a_1 When you pay cash, would you say that it is: very easy, rather easy, rather difficult or very difficult to distinguish and handle euro bank notes. | Base: All (Croatia)",not_forward,"This question asks for citizens' opinion on the ease of handling euro bank notes, which is not a forward-looking policy preference."
"Q3a_2 When you pay cash, would you say that it is: very easy, rather easy, rather difficult or very difficult to distinguish and handle euro coins. | Base: All (Croatia)",not_forward,"This question asks for the respondent's perception of handling euro coins, which is not related to a forward-looking opinion about what the EU should do."
Q3b With which of the following euro coins do you have particular difficulties? | Base: If Croatia and 'Rather or very difficult' (code 3 or 4) in Q3a2 (Croatia),not_forward,"This question asks about respondents' difficulties with specific euro coins, not expressing a forward-looking opinion or preference about what the EU should do."
"Q4 Do you consider that there are too many or, on the contrary, not enough euro coins with different values or do you consider that there are just the right number? | Base: All (Croatia)",opinion_forward,"The question asks for the citizen's opinion about the number of euro coins, which is a forward-looking opinion about what should be done regarding the EU currency."
"Q5 Are you in favour of abolishing 1- and 2-euro cent coins in the euro area and applying mandatory up- and down-rounding of the final sum of purchase in shops and supermarkets (i.e. prices can still be set at any cent amount but the final sum of purchase is rounded at the tills to 0 or 5 cent, depending on whether the sum is closer to 0 or to 5)? | Base: All",opinion_forward,The question asks for citizens' opinion on what the EU should do (abolish 1- and 2-euro cent coins)
"Q6 Today, when you are buying things, do you tend to convert from the price in euro to the (NATIONAL CURRENCY)? | Base: All (Croatia)",error,parse_error
"Q7 When the euro coins and banknotes were physically introduced in (OUR COUNTRY), do you personally think that the euro introduction had any impact on prices during this changeover period? | Base: All (Croatia)",not_forward,"This question asks for respondents' personal opinion about the impact of the euro introduction on prices, which is a retrospective assessment rather than a forward-looking policy preference."
Q8_1 Do you think that the euro...? Has made travelling easier and less costly | Base: All,opinion_forward,"The question asks for citizens' opinion about the impact of the euro on travel, which can be considered a forward-looking opinion about what the euro should achieve."
Q8_2 Do you think that the euro...? Has reduced banking charges when travelling in different EU countries (e.g. when withdrawing money from an ATM) | Base: All,opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do to reduce banking charges when traveling in different EU countries.
Q8_3 Do you think that the euro...? Has made it easier to do business in different EU countries | Base: All,opinion_forward,"The question asks for citizens' opinion about the impact of the euro on doing business in different EU countries, which can be considered a forward-looking opinion."
"Q8_4 Do you think that the euro...? Has made it easier to compare prices and shop in different EU countries, including online | Base: All",opinion_forward,"The question asks for citizens' opinion about the impact of the euro, which can be considered a forward-looking opinion about what the euro should achieve."
"Q9 Do you think that the degree to which economic policy, including budgetary policies, is coordinated in the euro area is appropriate? Should there be more or less coordination among euro-area governments? | Base: All",opinion_forward,The question asks for citizens' opinion on what the EU SHOULD do regarding coordination of economic policy in the euro area
"Q10_1 Governments in all euro-area countries are implementing various economic reforms, such as labour market reforms, pension, social security or healthcare reforms, reforms of education systems or market reforms to open sectors to competition. Would you agree or disagree with the following statements related to such reforms? There is a need for significant reforms to improve the performance of our economy | Base: All",opinion_forward,"The question asks for citizens' opinion about the need for significant reforms to improve the economy, which is a forward-looking opinion."
"Q10_2 Governments in all euro-area countries are implementing various economic reforms, such as labour market reforms, pension, social security or healthcare reforms, reforms of education systems or market reforms to open sectors to competition. Would you agree or disagree with the following statements related to such reforms? I think successful reforms in other euro-area countries have facilitated reforms in our country | Base: All",opinion_forward,"The question asks for citizens' opinion about the facilitation of reforms in their own country, which can be seen as a forward-looking policy preference."
"Q10_3 Governments in all euro-area countries are implementing various economic reforms, such as labour market reforms, pension, social security or healthcare reforms, reforms of education systems or market reforms to open sectors to competition. Would you agree or disagree with the following statements related to such reforms? Governments need to save more today in order to prepare public finances for the ageing of populations | Base: All",opinion_forward,The question asks for citizens' opinion about what governments SHOULD do in the future regarding economic reforms.
"Q10_4 Governments in all euro-area countries are implementing various economic reforms, such as labour market reforms, pension, social security or healthcare reforms, reforms of education systems or market reforms to open sectors to competition. Would you agree or disagree with the following statements related to such reforms? The retirement age should be increased to ensure sustainability of the pension system | Base: All",opinion_forward,"The question asks for citizens' opinion about what the EU SHOULD do regarding economic reforms, specifically increasing the retirement age."
"Q11_1 In your opinion, how important is it that the government in (OUR COUNTRY)  should introduce reforms in each of the following areas to help increase growth and employment? Labour market | Base: All",opinion_forward,"The question asks for citizens' opinion about what the government should do to increase growth and employment, which falls under FORWARD-LOOKING OPINION category."
"Q11_2 In your opinion, how important is it that the government in (OUR COUNTRY)  should introduce reforms in each of the following areas to help increase growth and employment? Health system | Base: All",opinion_forward,"The question asks for citizens' opinion on what the government should do to increase growth and employment, which falls under forward-looking opinion."
"Q11_3 In your opinion, how important is it that the government in (OUR COUNTRY)  should introduce reforms in each of the following areas to help increase growth and employment? Pension system | Base: All",opinion_forward,"The question asks for citizens' opinion on what the government should do to increase growth and employment, which falls under FORWARD-LOOKING OPINION category."
"Q11_4 In your opinion, how important is it that the government in (OUR COUNTRY)  should introduce reforms in each of the following areas to help increase growth and employment? Social security system | Base: All",opinion_forward,"The question asks for citizens' opinion on what the government should do to increase growth and employment, which falls under forward-looking opinion."
"Q11_5 In your opinion, how important is it that the government in (OUR COUNTRY)  should introduce reforms in each of the following areas to help increase growth and employment? Market reforms, as in telecom, gas/electricity (e.g. opening sectors for free competition, privatisation) | Base: All",opinion_forward,"The question asks for citizens' opinion on what the government should do to increase growth and employment, which falls under FORWARD-LOOKING OPINION category."
"Q11_6 In your opinion, how important is it that the government in (OUR COUNTRY)  should introduce reforms in each of the following areas to help increase growth and employment? Taxation | Base: All",opinion_forward,"The question asks for citizens' opinion on what the government should do to increase growth and employment, which falls under forward-looking opinion."
"Q11_7 In your opinion, how important is it that the government in (OUR COUNTRY)  should introduce reforms in each of the following areas to help increase growth and employment? Education systems | Base: All",opinion_forward,"The question asks for citizens' opinion on what the government should do to increase growth and employment, which falls under forward-looking opinion."
"Q12 What is your expectation regarding the inflation rate this year? Compared to last year, will it be: | Base: All",not_forward,"This question asks for citizens' expectation about the inflation rate this year, which is not a forward-looking opinion about what the EU should do."
"Q13 What are your thoughts about the most recent EU financial support for EU Member States to overcome the COVID-19 crisis? Do you think it was good or not good to provide a recovery plan of 650 billion euros supporting  all Member States, through grants and loans,  on conditions that they make green, digital and social investments and reforms? | Base: All",opinion_forward,"The question asks for citizens' opinion about what the EU should do in the future, specifically regarding a recovery plan for COVID-19 crisis."
B. Fieldwork country,error,parse_error
D11. How old are you?,not_forward,"This question asks for the respondent's age, not their opinion about what the EU should do."
D11R. How old are you?,not_forward,"This question asks for the respondent's age, not their opinion about what the EU should do."
"D70. On the whole, are you very satisfied, fairly satisfied, not very satisfied or not at all satisfied with the life you lead?",not_forward,"It asks for satisfaction with current life, not a forward-looking opinion about what the EU should do"
"D70a. On the whole, are you very satisfied, fairly satisfied, not very satisfied or not at all satisfied with your daily life?",not_forward,"This question asks for satisfaction with current daily life, not a forward-looking opinion about what the EU should do."
"D71.1. When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? :-National political matters",not_forward,"It asks for the frequency of discussing national political matters, not expressing a forward-looking opinion about what the EU should do."
"D71.2. When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? :-European political matters",error,parse_error
"D71.3. When you get together with friends or relatives, would you say you discuss frequently, occasionally or never about...? :-Local political matters",not_forward,"It asks for the frequency of discussing local political matters, not expressing a forward-looking opinion about what the EU should do."
QA1.1. How would you judge the current situation in each of the following? :-The situation in (OUR COUNTRY) in general,not_forward,"It asks for a judgment of the current situation, not a forward-looking opinion about what the EU should do."
QA1.2. How would you judge the current situation in each of the following? :-The situation of the (NATIONALITY) economy,not_forward,"It asks for a judgment of the current situation, not a forward-looking opinion about what the EU should do."
QA1.3. How would you judge the current situation in each of the following? :-The situation of the European economy,not_forward,"It asks for a judgment of the current situation, not a forward-looking opinion about what the EU should do."
QA1.4. How would you judge the current situation in each of the following? :-Your personal job situation,not_forward,"This question asks for an opinion about the current situation, not a forward-looking opinion about what the EU should do."
QA1.5. How would you judge the current situation in each of the following? :-The financial situation of your household,not_forward,"It asks for a judgment of the current situation, not a forward-looking opinion about what the EU should do."
QA1.6. How would you judge the current situation in each of the following? :-The employment situation in (OUR COUNTRY),not_forward,"It refers to the current situation, not a forward-looking opinion about what the EU should do."
QA1.7. How would you judge the current situation in each of the following? :-The provision of public services in (OUR COUNTRY),not_forward,"It refers to the current situation of public services in the country, not a forward-looking opinion about what the EU should do."
"QA2.1. What are your expectations for the next 12 months : will the next 12 months be better, worse or the same, when it comes to...? :-Your life in general",opinion_forward,The question asks for citizens' forward-looking opinion about their personal life in the next 12 months.
"QA2.2. What are your expectations for the next 12 months : will the next 12 months be better, worse or the same, when it comes to...? :-The situation in (OUR COUNTRY) in general",not_forward,"This question asks for citizens' expectations about the future state of their country, not a policy preference that the EU should act on."
